Domain,Have_IP,Have_At_Sign,Length,Depth,Redirection,HTTPS_Domain,TinyUrl,Prefix_Suffix,Has_DNS,Domain_Age,Domain_End,IFrame,web_Forwarding,Check_Alert_Script,Label
mc2i-technologie.fr,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1
canilimaginarium.com.br,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1
skvs.stedu.net,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1
krystalls.hol.es,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1
signin-ws.szm.com,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1
gkjx168.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1
gillrice.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1
'paypal.com-cgi-bin-webscr-cmd-login-run-1308093100731970774198314-809.polpay.co.cc,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1
selltwopay.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1
popmelody.ir,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1
plumber-rivonia.co.za,0,0,0,7,0,0,0,0,1,1,1,1,1,1,1
teknoarsiv.com,0,0,0,5,1,0,0,0,1,1,1,1,1,1,1
ponekkusolae.hackz.name,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1
oigamirevea.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1
9d345009-a-62cb3a1a-s-sites.googlegroups.com,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1
trat.energy.go.th,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1
ncore.im,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1
help-paypal.fr.webapps.mpp.home-update.account.cgi-bin.https.limetd.login-submit.gopostcards.com,0,0,1,6,0,0,0,0,1,1,1,1,1,1,1
100magow-gratos.cabanova.fr,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1
radiocoquimbo.cl,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1
billing.aol.com.cash-out-refinance.com,0,0,1,6,0,0,0,0,1,1,1,1,1,1,1
peedomain.info,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1
